Country,Population
China,1419008956
India,1374659064
United States of America,335056498
Indonesia,269951847
Pakistan,226928893
Brazil,206107261
Nigeria,204938755
Bangladesh,163523104
Russian Federation,146430146
Japan,126913433
Mexico,124573711
Ethiopia,112664153
Philippines,109465287
Egypt,105682094
Viet Nam,96237320
D.R. Congo,90047644
Iran,86117998
Turkey,84415969
Germany,83368506
Thailand,71376079
United Kingdom,66752475
France,65519543
Italy,60277499
South Africa,58613001
Tanzania,57437145
Myanmar,52272247
Republic of Korea,51640894
Kenya,50207108
Colombia,49024466
Spain,47092821
Ukraine,45208907
Argentina,44654882
Sudan,44230596
Algeria,42505035
Uganda,41565831
Iraq,40265625
Poland,38241071
Canada,37295005
Afghanistan,36743039
Morocco,35839760
Yemen,34085182
Malaysia,32910967
Uzbekistan,32373491
Peru,31897584
Angola,31297155
Ghana,30637585
Saudi Arabia,30365121
Venezuela,29807592
Mozambique,29018645
Nepal,28079689
Madagascar,27494926
Côte d'Ivoire,27464173
Dem. People's Republic of Korea,25931148
Australia,25119706
Cameroon,24806383
Taiwan,23659305
Sri Lanka,22253118
Niger,22188069
Mali,20442030
Burkina Faso,20438288
Romania,19597872
Syrian Arab Republic,19577845
Kazakhstan,18932727
Chile,18893191
Malawi,18528081
Zambia,17973569
Netherlands,17421280
Ecuador,17049547
Guatemala,16845685
Cambodia,16274522
Chad,16156531
Senegal,15914499
Somalia,15452487
Zimbabwe,15034452
Guinea,12704774
Rwanda,12487996
Benin,12383348
Burundi,11859446
Tunisia,11765515
Bolivia,11508368
Belgium,11428605
Cuba,11227118
Haiti,10962363
Dominican Republic,10782054
Greece,10730844
Czech Republic,10548937
Jordan,10462306
Portugal,10325353
Sweden,10175405
South Sudan,10122977
Azerbaijan,10039785
Hungary,9774394
Honduras,9765211
Belarus,9480031
Papua New Guinea,9394514
United Arab Emirates,9346870
Tajikistan,9307333
Austria,8841651
Switzerland,8516345
Israel,8510067
Togo,8258778
Sierra Leone,7554563
China Hong Kong SAR,7471194
Laos,7128045
Bulgaria,7024746
Serbia,7020019
Libya,6849055
Turkmenistan,6655524
Paraguay,6427382
Nicaragua,6400080
Kyrgyzstan,6341732
El Salvador,6219808
Lebanon,5984120
Denmark,5793825
Singapore,5634370
Finland,5515737
Congo,5483118
Slovakia,5443232
Norway,5311753
Costa Rica,4957818
Liberia,4944726
New Zealand,4900847
Central African Republic,4878657
Ireland,4872556
State of Palestine,4850593
Oman,4597878
Mauritania,4337685
Kuwait,4323388
Panama,4167861
Croatia,4024868
Georgia,3794877
Uruguay,3394534
Bosnia and Herzegovina,3387000
Puerto Rico,3290068
Eritrea,3192761
Mongolia,3167706
Republic of Moldova,3153773
Armenia,2909965
Albania,2894231
Jamaica,2820098
Lithuania,2802478
Qatar,2761142
Namibia,2577327
Gambia,2399632
Botswana,2299141
Gabon,2212318
Lesotho,2183603
Slovenia,2069481
Latvia,1927588
Guinea-Bissau,1922168
TFYR Macedonia,1919729
Equatorial Guinea,1616422
Bahrain,1497626
Trinidad and Tobago,1470519
Estonia,1321965
Mauritius,1288834
Timor-Leste,1275959
Cyprus,1270738
Swaziland,1168930
Djibouti,1071882
Fiji,917180
Réunion,856942
Guyana,791556
Comoros,771590
Bhutan,759759
Solomon Islands,709101
China Macao SAR,658772
Montenegro,615795
Luxembourg,608101
Suriname,599513
Western Sahara,525782
Cabo Verde,513415
Malta,484558
Maldives,473099
Brunei Darussalam,437810
Guadeloupe,415180
Bahamas,392718
Belize,380227
Martinique,364090
Iceland,352854
Vanuatu,285259
New Caledonia,283541
French Guiana,280962
Barbados,280711
French Polynesia,279816
Mayotte,269690
Sao Tome and Principe,210187
Samoa,207582
Curaçao,181584
Saint Lucia,177017
Guam,162680
Kiribati,122084
Grenada,115691
Seychelles,115040
Micronesia (Fed. States of),109910
Aruba,106432
Tonga,105567
Saint Vincent and the Grenadines,104926
United States Virgin Islands,92302
Antigua and Barbuda,90926
Monaco,38155